    # time       flux      error   full_mod       base    transit   det_flux
8558.772018   0.999310   0.000939   1.000004   1.000004   1.000000   0.999306
8558.773407   1.001270   0.000939   1.000004   1.000004   1.000000   1.001266
8558.774796   1.001479   0.000939   1.000004   1.000004   1.000000   1.001475
8558.776185   1.000750   0.000940   1.000004   1.000004   1.000000   1.000746
8558.777574   0.998875   0.000938   1.000004   1.000004   1.000000   0.998871
8558.778963   1.001193   0.000938   1.000004   1.000004   1.000000   1.001189
8558.780352   1.001281   0.000938   1.000004   1.000004   1.000000   1.001277
8558.781740   0.998513   0.000938   1.000004   1.000004   1.000000   0.998509
8558.783129   1.000917   0.000940   1.000004   1.000004   1.000000   1.000913
8558.784518   1.000749   0.000941   1.000004   1.000004   1.000000   1.000745
8558.785907   0.999730   0.000938   1.000004   1.000004   1.000000   0.999726
8558.787296   0.999514   0.000938   1.000004   1.000004   1.000000   0.999510
8558.788685   0.999851   0.000938   1.000004   1.000004   1.000000   0.999847
8558.790074   0.999174   0.000939   1.000004   1.000004   1.000000   0.999170
8558.791462   0.999037   0.000939   1.000004   1.000004   1.000000   0.999033
8558.792851   1.000428   0.000939   1.000004   1.000004   1.000000   1.000424
8558.794240   1.001043   0.000938   1.000004   1.000004   1.000000   1.001039
8558.795629   1.000684   0.000938   1.000004   1.000004   1.000000   1.000680
8558.797018   1.000851   0.000938   1.000004   1.000004   1.000000   1.000847
8558.798407   0.999374   0.000939   1.000004   1.000004   1.000000   0.999370
8558.799796   1.001482   0.000938   1.000004   1.000004   1.000000   1.001478
8558.801185   0.999351   0.000938   1.000004   1.000004   1.000000   0.999347
8558.802573   0.999504   0.000938   1.000004   1.000004   1.000000   0.999500
8558.803962   0.999856   0.000938   1.000004   1.000004   1.000000   0.999852
8558.805351   0.999464   0.000938   1.000004   1.000004   1.000000   0.999460
8558.806740   1.000180   0.000938   1.000004   1.000004   1.000000   1.000176
8558.808129   0.999853   0.000938   1.000004   1.000004   1.000000   0.999849
8558.809518   0.999116   0.000938   1.000004   1.000004   1.000000   0.999112
8558.810907   0.999304   0.000937   1.000004   1.000004   1.000000   0.999300
8558.812295   1.001275   0.000938   1.000004   1.000004   1.000000   1.001271
8558.813684   0.999843   0.000939   1.000004   1.000004   1.000000   0.999839
8558.815073   0.998316   0.000937   1.000004   1.000004   1.000000   0.998312
8558.816462   1.000500   0.000940   1.000004   1.000004   1.000000   1.000496
8558.817851   1.000291   0.000939   1.000004   1.000004   1.000000   1.000287
8558.819240   0.999926   0.000938   1.000004   1.000004   1.000000   0.999922
8558.820629   1.000284   0.000938   1.000004   1.000004   1.000000   1.000280
8558.822018   1.000576   0.000938   1.000004   1.000004   1.000000   1.000572
8558.823406   0.997880   0.000938   1.000004   1.000004   1.000000   0.997876
8558.824795   1.000423   0.000939   1.000004   1.000004   1.000000   1.000419
8558.826184   0.998807   0.000939   1.000004   1.000004   1.000000   0.998803
8558.827573   1.000198   0.000939   1.000004   1.000004   1.000000   1.000194
8558.828962   1.000121   0.000938   1.000004   1.000004   1.000000   1.000117
8558.830351   0.999809   0.000938   1.000004   1.000004   1.000000   0.999805
8558.831740   0.999492   0.000939   1.000004   1.000004   1.000000   0.999488
8558.833128   1.000448   0.000938   1.000004   1.000004   1.000000   1.000444
8558.834517   0.999960   0.000938   1.000004   1.000004   1.000000   0.999956
8558.835906   0.998663   0.000937   1.000004   1.000004   1.000000   0.998659
8558.837295   1.000032   0.000939   1.000004   1.000004   1.000000   1.000028
8558.838684   1.001122   0.000938   1.000004   1.000004   1.000000   1.001118
8558.840073   1.000072   0.000939   1.000004   1.000004   1.000000   1.000068
8558.841462   1.000595   0.000939   1.000004   1.000004   1.000000   1.000591
8558.842851   0.998915   0.000937   1.000004   1.000004   1.000000   0.998911
8558.844239   1.000240   0.000939   1.000004   1.000004   1.000000   1.000236
8558.845628   0.998390   0.000937   1.000004   1.000004   1.000000   0.998386
8558.847017   1.000106   0.000938   1.000004   1.000004   1.000000   1.000102
8558.848406   1.001236   0.000939   1.000004   1.000004   1.000000   1.001232
8558.849795   1.000419   0.000938   1.000004   1.000004   1.000000   1.000415
8558.851184   1.000534   0.000938   1.000004   1.000004   1.000000   1.000530
8558.852573   0.999357   0.000936   1.000004   1.000004   1.000000   0.999353
8558.853961   1.000136   0.000938   1.000004   1.000004   1.000000   1.000132
8558.855350   1.000164   0.000938   1.000004   1.000004   1.000000   1.000160
8558.856739   1.003243   0.000939   1.000004   1.000004   1.000000   1.003239
8558.858128   0.999108   0.000937   1.000004   1.000004   1.000000   0.999104
8558.859517   1.000903   0.000938   1.000004   1.000004   1.000000   1.000899
8558.860906   1.000259   0.000938   1.000004   1.000004   1.000000   1.000255
8558.862295   0.999521   0.000939   1.000004   1.000004   1.000000   0.999517
8558.863684   0.999071   0.000938   1.000004   1.000004   1.000000   0.999067
8558.865072   0.998951   0.000938   1.000004   1.000004   1.000000   0.998947
8558.866461   1.000460   0.000939   1.000004   1.000004   1.000000   1.000456
8558.867850   1.000491   0.000938   1.000004   1.000004   1.000000   1.000487
8558.869239   0.999362   0.000937   1.000004   1.000004   1.000000   0.999358
8558.870628   1.000985   0.000939   1.000004   1.000004   1.000000   1.000981
8558.872017   1.000294   0.000939   1.000004   1.000004   1.000000   1.000290
8558.873406   1.000410   0.000938   1.000004   1.000004   1.000000   1.000406
8558.874794   1.000278   0.000939   1.000004   1.000004   1.000000   1.000274
8558.876183   1.000281   0.000939   1.000004   1.000004   1.000000   1.000277
8558.877572   0.999492   0.000938   1.000004   1.000004   1.000000   0.999488
8558.878961   0.999202   0.000939   1.000004   1.000004   1.000000   0.999198
8558.880350   1.000341   0.000939   1.000004   1.000004   1.000000   1.000337
8558.881739   1.000823   0.000939   1.000004   1.000004   1.000000   1.000819
8558.883128   0.998651   0.000937   1.000004   1.000004   1.000000   0.998647
8558.884517   0.999680   0.000938   1.000004   1.000004   1.000000   0.999676
8558.885905   1.000131   0.000938   1.000004   1.000004   1.000000   1.000127
8558.887294   0.999722   0.000937   1.000004   1.000004   1.000000   0.999718
8558.888683   0.999290   0.000937   1.000004   1.000004   1.000000   0.999286
8558.890072   0.999930   0.000937   1.000004   1.000004   1.000000   0.999926
8558.891461   1.000518   0.000937   1.000004   1.000004   1.000000   1.000514
8558.892850   1.001857   0.000939   1.000004   1.000004   1.000000   1.001853
8558.894239   1.001866   0.000940   1.000004   1.000004   1.000000   1.001862
8558.895627   0.999383   0.000937   1.000004   1.000004   1.000000   0.999379
8558.897016   0.999650   0.000937   1.000004   1.000004   1.000000   0.999646
8558.898405   0.998066   0.000938   1.000004   1.000004   1.000000   0.998062
8558.899794   0.999067   0.000938   1.000004   1.000004   1.000000   0.999063
8558.901183   1.000674   0.000937   1.000004   1.000004   1.000000   1.000670
8558.902572   1.001103   0.000938   1.000004   1.000004   1.000000   1.001099
8558.903961   1.000766   0.000938   1.000004   1.000004   1.000000   1.000762
8558.905350   0.999351   0.000938   1.000004   1.000004   1.000000   0.999347
8558.906738   1.000975   0.000938   1.000004   1.000004   1.000000   1.000971
8558.908127   1.000773   0.000939   1.000004   1.000004   1.000000   1.000769
8558.909516   0.999820   0.000938   1.000004   1.000004   1.000000   0.999816
8558.910905   1.000815   0.000938   1.000004   1.000004   1.000000   1.000811
8558.912294   0.999720   0.000937   1.000004   1.000004   1.000000   0.999716
8558.913683   1.000095   0.000938   1.000004   1.000004   1.000000   1.000091
