    # time       flux      error   full_mod    gp*base    transit   det_flux
8209.718209   0.995283   0.000785   0.994979   1.007754   0.987322   0.987624
8209.718881   0.995359   0.000792   0.994988   1.007751   0.987335   0.987703
8209.719551   0.995359   0.000792   0.996094   1.008858   0.987348   0.986619
8209.720222   0.994714   0.000792   0.995247   1.007986   0.987362   0.986833
8209.720893   0.995471   0.000800   0.995073   1.007795   0.987376   0.987771
8209.721564   0.994493   0.000799   0.995356   1.008067   0.987390   0.986534
8209.722238   0.996641   0.000801   0.995502   1.008199   0.987405   0.988536
8209.722912   0.995901   0.000808   0.995041   1.007717   0.987421   0.988274
8209.723582   0.993016   0.000806   0.994690   1.007345   0.987437   0.985775
8209.724255   0.996152   0.000816   0.994846   1.007487   0.987453   0.988749
8209.724926   0.993986   0.000814   0.995351   1.007980   0.987470   0.986117
8209.725596   0.995540   0.000816   0.995153   1.007762   0.987488   0.987872
8209.726268   0.993120   0.000822   0.994893   1.007480   0.987506   0.985746
8209.726938   0.993700   0.000822   0.995188   1.007760   0.987525   0.986048
8209.727609   0.995136   0.000831   0.995267   1.007820   0.987544   0.987414
8209.728394   0.995761   0.000831   0.995093   1.007621   0.987567   0.988230
8209.729068   0.996627   0.000840   0.995334   1.007844   0.987587   0.988870
8209.729741   0.993893   0.000838   0.995777   1.008272   0.987608   0.985739
8209.730412   0.995247   0.000847   0.995358   1.007825   0.987630   0.987520
8209.731082   0.997432   0.000849   0.995341   1.007785   0.987652   0.989727
8209.731758   0.993852   0.000854   0.995287   1.007708   0.987675   0.986250
8209.732433   0.996509   0.000856   0.995700   1.008102   0.987698   0.988500
8209.733105   0.996928   0.000856   0.995584   1.007959   0.987722   0.989056
8209.733774   0.997837   0.000865   0.995490   1.007839   0.987747   0.990075
8209.734446   0.994260   0.000862   0.995492   1.007816   0.987772   0.986549
8209.735119   0.995732   0.000872   0.995262   1.007556   0.987798   0.988265
8209.735790   0.995723   0.000872   0.995670   1.007942   0.987825   0.987878
8209.736467   0.992301   0.000877   0.994971   1.007206   0.987852   0.985201
