    # time       flux      error   full_mod    gp*base    transit   det_flux
8209.756773   0.999816   0.001045   0.997412   1.007956   0.989540   0.991925
8209.757453   0.995943   0.001051   0.997013   1.007470   0.989621   0.988559
8209.758132   0.996999   0.001061   0.997100   1.007472   0.989705   0.989605
8209.758800   1.000057   0.001065   0.997324   1.007611   0.989791   0.992503
8209.759472   0.996946   0.001071   0.997063   1.007255   0.989881   0.989765
8209.760145   0.997604   0.001081   0.997035   1.007131   0.989976   0.990540
8209.760822   0.998019   0.001091   0.997677   1.007678   0.990075   0.990414
8209.761494   0.997837   0.001091   0.997403   1.007296   0.990178   0.990610
8209.762166   0.997380   0.001101   0.997259   1.007040   0.990287   0.990407
8209.762844   0.996647   0.001109   0.997392   1.007057   0.990403   0.989663
8209.763522   0.999672   0.001123   0.997404   1.006944   0.990526   0.992779
8209.764191   0.997870   0.001131   0.997670   1.007080   0.990656   0.990855
8209.764862   0.993825   0.001136   0.997339   1.006602   0.990798   0.987307
8209.765534   0.999469   0.001143   0.998100   1.007184   0.990981   0.992340
8209.766205   0.999387   0.001152   0.998432   1.007261   0.991235   0.992183
8209.766878   0.996785   0.001159   0.998742   1.007276   0.991528   0.989585
8209.767553   0.999630   0.001173   0.998809   1.007016   0.991850   0.992665
8209.768228   0.996346   0.001179   0.999018   1.006880   0.992192   0.989538
8209.768902   1.003372   0.001198   0.999258   1.006758   0.992550   0.996636
8209.769580   1.001285   0.001206   0.999527   1.006652   0.992922   0.994668
8209.770256   0.999030   0.001213   0.999904   1.006646   0.993303   0.992434
8209.770928   0.995505   0.001219   1.000254   1.006608   0.993687   0.988970
8209.771598   1.001611   0.001238   1.000575   1.006538   0.994076   0.995105
8209.772274   1.000663   0.001247   1.000728   1.006293   0.994469   0.994405
8209.772951   1.002928   0.001260   1.001243   1.006412   0.994864   0.996539
8209.773624   1.001221   0.001269   1.001653   1.006429   0.995255   0.994825
8209.774295   1.002694   0.001281   1.002119   1.006506   0.995641   0.996213
8209.774974   1.000262   0.001289   1.002382   1.006381   0.996027   0.993920
8209.775651   1.003141   0.001304   1.002510   1.006128   0.996405   0.997032
8209.776321   0.999534   0.001310   1.002853   1.006102   0.996771   0.993472
8209.776993   1.002867   0.001325   1.003447   1.006338   0.997128   0.996551
8209.777662   1.004321   0.001338   1.003852   1.006396   0.997472   0.997939
8209.778336   1.004848   0.001350   1.003910   1.006117   0.997806   0.998739
8209.779006   1.003747   0.001360   1.004363   1.006251   0.998124   0.997511
8209.779675   1.000837   0.001367   1.004770   1.006355   0.998425   0.994517
8209.780352   1.001728   0.001391   1.004956   1.006252   0.998712   0.995504
8209.781027   1.006763   0.001409   1.005318   1.006347   0.998977   1.000413
8209.781711   1.004147   0.001417   1.005475   1.006256   0.999224   0.997904
8209.782374   1.008349   0.001434   1.005619   1.006183   0.999439   1.002153
8209.783051   1.006421   0.001443   1.005800   1.006171   0.999632   1.000249
8209.783728   1.000325   0.001457   1.006180   1.006389   0.999792   0.993975
8209.784398   1.006091   0.001478   1.006154   1.006239   0.999915   0.999853
8209.785070   1.006331   0.001489   1.006384   1.006393   0.999992   0.999939
8209.785743   1.007197   0.001503   1.006313   1.006313   1.000000   1.000879
8209.786505   1.011186   0.001533   1.006525   1.006525   1.000000   1.004631
8209.787176   1.007114   0.001538   1.006669   1.006669   1.000000   1.000442
8209.787846   1.007491   0.001563   1.006456   1.006456   1.000000   1.001029
8209.788518   1.007271   0.001575   1.006504   1.006504   1.000000   1.000763
8209.789204   1.006584   0.001586   1.006395   1.006395   1.000000   1.000188
8209.789868   1.006551   0.001610   1.006533   1.006533   1.000000   1.000018
8209.790546   1.007899   0.001625   1.006945   1.006945   1.000000   1.000947
8209.791215   1.007102   0.001648   1.006690   1.006690   1.000000   1.000410
8209.791887   1.007258   0.001661   1.006659   1.006659   1.000000   1.000595
8209.792559   1.005987   0.001684   1.006402   1.006402   1.000000   0.999588
8209.793239   1.008684   0.001701   1.006309   1.006309   1.000000   1.002360
8209.793913   1.006575   0.001722   1.006750   1.006750   1.000000   0.999826
8209.794586   1.006454   0.001748   1.006481   1.006481   1.000000   0.999973
8209.795255   1.008380   0.001764   1.006553   1.006553   1.000000   1.001815
8209.795928   1.008327   0.001790   1.006465   1.006465   1.000000   1.001850
8209.796599   1.005409   0.001811   1.006461   1.006461   1.000000   0.998955
8209.797272   1.007640   0.001828   1.006370   1.006370   1.000000   1.001262
8209.797944   1.003665   0.001847   1.006618   1.006618   1.000000   0.997066
8209.798631   1.007131   0.001880   1.006284   1.006284   1.000000   1.000842
8209.799305   1.007197   0.001906   1.006067   1.006067   1.000000   1.001123
8209.799979   1.002812   0.001925   1.005747   1.005747   1.000000   0.997081
8209.800650   1.006508   0.001959   1.005688   1.005688   1.000000   1.000816
8209.801322   1.003821   0.001967   1.005982   1.005982   1.000000   0.997852
8209.801994   1.004195   0.001995   1.005896   1.005896   1.000000   0.998309
8209.802765   1.011259   0.002051   1.005983   1.005983   1.000000   1.005245
8209.803437   1.009119   0.002075   1.005527   1.005527   1.000000   1.003572
8209.804118   1.003623   0.002091   1.005400   1.005400   1.000000   0.998233
8209.804794   1.005150   0.002122   1.005520   1.005520   1.000000   0.999632
8209.805465   1.009207   0.002159   1.005817   1.005817   1.000000   1.003371
8209.806138   1.005909   0.002181   1.005800   1.005800   1.000000   1.000109
8209.806808   1.000199   0.002197   1.005287   1.005287   1.000000   0.994939
8209.807482   1.006465   0.002254   1.005113   1.005113   1.000000   1.001345
8209.808166   1.004537   0.002279   1.005343   1.005343   1.000000   0.999199
8209.808844   1.001930   0.002302   1.005198   1.005198   1.000000   0.996749
8209.809516   1.006089   0.002356   1.005107   1.005107   1.000000   1.000977
8209.810192   1.000808   0.002373   1.004690   1.004690   1.000000   0.996136
8209.810875   1.002028   0.002421   1.004671   1.004671   1.000000   0.997369
8209.811548   1.009661   0.002469   1.004688   1.004688   1.000000   1.004950
8209.812221   1.004756   0.002503   1.004542   1.004542   1.000000   1.000213
8209.812894   1.002098   0.002542   1.004450   1.004450   1.000000   0.997659
8209.813568   1.003419   0.002576   1.004047   1.004047   1.000000   0.999374
8209.814243   1.003192   0.002623   1.004011   1.004011   1.000000   0.999184
8209.814929   1.002781   0.002668   1.003984   1.003984   1.000000   0.998802
