# Time  Detrended_flux  flux_error  flux  GP_model  planets_model
8.040258985929999653e+03 1.000059527920622582e+00 9.302666342343359352e-05 9.977219283585954113e-01 9.976625395821310249e-01 1.000000000000000000e+00
8.040279417560000184e+03 9.999778694706936699e-01 9.302666342343359352e-05 9.977862467936290392e-01 9.978083288200920720e-01 1.000000000000000000e+00
8.040299849080000058e+03 9.999419083762984828e-01 9.302666342343359352e-05 9.979140934372005001e-01 9.979720672549960980e-01 1.000000000000000000e+00
8.040320280810000440e+03 9.999244943900110760e-01 9.302666342343359352e-05 9.980836220277059523e-01 9.981589886310084925e-01 1.000000000000000000e+00
8.040340712440000061e+03 9.998388235683414171e-01 9.302666342343359352e-05 9.982112686139367197e-01 9.983721826798082066e-01 1.000000000000000000e+00
8.040361144170000443e+03 9.997078334384629228e-01 9.302666342343359352e-05 9.983195996639234737e-01 9.986113605114359526e-01 1.000000000000000000e+00
8.040422438949999560e+03 1.000433507068609451e+00 9.302666342343359352e-05 9.998127676376729056e-01 9.993795295473906215e-01 1.000000000000000000e+00
8.040463302209999711e+03 1.000116313080555930e+00 9.302666342343359352e-05 9.999031635470660984e-01 9.997868752557056427e-01 1.000000000000000000e+00
8.040483733840000241e+03 1.000073229484468307e+00 9.302666342343359352e-05 1.000016365993298795e+00 9.999431406726098093e-01 1.000000000000000000e+00
8.040504165469999862e+03 9.999842089739250373e-01 9.302666342343359352e-05 1.000055847309484935e+00 1.000071639466820539e+00 1.000000000000000000e+00
8.040524597089999588e+03 9.999979025626486440e-01 9.302666342343359352e-05 1.000176581914594687e+00 1.000178679726715592e+00 1.000000000000000000e+00
8.040545028720000118e+03 9.999590354991461094e-01 9.302666342343359352e-05 1.000229637121347270e+00 1.000270612707715667e+00 1.000000000000000000e+00
8.040565460349999739e+03 9.999405883329743894e-01 9.302666342343359352e-05 1.000293925547779850e+00 1.000353358208405652e+00 1.000000000000000000e+00
8.040585891980000270e+03 9.999518401559788217e-01 9.302666342343359352e-05 1.000383181130330978e+00 1.000431361748666648e+00 1.000000000000000000e+00
8.040606323699999848e+03 1.000006170357209845e+00 9.302666342343359352e-05 1.000513108370245652e+00 1.000506934885066590e+00 1.000000000000000000e+00
8.040626755229999617e+03 1.000021079334996177e+00 9.302666342343359352e-05 1.000601873812312359e+00 1.000580782234812949e+00 1.000000000000000000e+00
8.040647186959999999e+03 9.999641572880065832e-01 9.302666342343359352e-05 1.000617728356562486e+00 1.000653594495155119e+00 1.000000000000000000e+00
8.040667618589999620e+03 9.999757540960225732e-01 9.302666342343359352e-05 1.000702152554336033e+00 1.000726416070927716e+00 1.000000000000000000e+00
8.040688050110000404e+03 1.000009349764106936e+00 9.302666342343359352e-05 1.000808693091123525e+00 1.000799335853414851e+00 1.000000000000000000e+00
8.040708481839999877e+03 1.000031194986559013e+00 9.302666342343359352e-05 1.000902860081388956e+00 1.000871637904097167e+00 1.000000000000000000e+00
8.040728913470000407e+03 9.999821000023666473e-01 9.302666342343359352e-05 1.000924976420402679e+00 1.000942893295823755e+00 1.000000000000000000e+00
8.040749345000000176e+03 9.999502953089038915e-01 9.302666342343359352e-05 1.000963677512960226e+00 1.001013432576409512e+00 1.000000000000000000e+00
8.040769776719999754e+03 1.000059955433320491e+00 9.302666342343359352e-05 1.001143018916026861e+00 1.001082998551058978e+00 1.000000000000000000e+00
8.040790208350000285e+03 9.999706083562569514e-01 9.302666342343359352e-05 1.001120882571278736e+00 1.001150308024465474e+00 1.000000000000000000e+00
8.040810639880000053e+03 1.000060935651323701e+00 9.302666342343359352e-05 1.001276137070525651e+00 1.001215127374623926e+00 1.000000000000000000e+00
8.040831071610000436e+03 1.000037355864988209e+00 9.302666342343359352e-05 1.001314648108609484e+00 1.001277244531046939e+00 1.000000000000000000e+00
8.040851503230000162e+03 9.999523466171863495e-01 9.302666342343359352e-05 1.001290371150316050e+00 1.001338088297563544e+00 1.000000000000000000e+00
8.040871934859999783e+03 9.999561405564815209e-01 9.302666342343359352e-05 1.001356230026873018e+00 1.001400150880229933e+00 1.000000000000000000e+00
8.040892366490000313e+03 9.999365288804659135e-01 9.302666342343359352e-05 1.001401072879789966e+00 1.001464636961471699e+00 1.000000000000000000e+00
8.040912798119999934e+03 9.999652130491143431e-01 9.302666342343359352e-05 1.001496040099418172e+00 1.001530880304961846e+00 1.000000000000000000e+00
8.040933229739999661e+03 1.000002931920800586e+00 9.302666342343359352e-05 1.001598979604072959e+00 1.001596043003800673e+00 1.000000000000000000e+00
8.040953661370000191e+03 1.000071615715313778e+00 9.302666342343359352e-05 1.001727716502810672e+00 1.001655982193147665e+00 1.000000000000000000e+00
8.040974092999999812e+03 1.000081185302623688e+00 9.302666342343359352e-05 1.001788193836903096e+00 1.001706869961525026e+00 1.000000000000000000e+00
8.040994524720000300e+03 9.999666846354314798e-01 9.302666342343359352e-05 1.001713922549169578e+00 1.001747296125545583e+00 1.000000000000000000e+00
8.041014956250000068e+03 9.996622769204792647e-01 9.302666342343359352e-05 1.001439894006751929e+00 1.001778217631407175e+00 9.996740798226650959e-01
8.041055819610000071e+03 9.996308226794752283e-01 9.302666342343359352e-05 1.001443314987277899e+00 1.001813161685975562e+00 9.996340157130678694e-01
8.041076251229999798e+03 9.998275820824545912e-01 9.302666342343359352e-05 1.001644362611809891e+00 1.001817093828889282e+00 9.997679916333540584e-01
8.041096682759999567e+03 1.000001604585378567e+00 9.302666342343359352e-05 1.001813781170777906e+00 1.001812173677611995e+00 1.000000000000000000e+00
8.041117114489999949e+03 9.999862069168657941e-01 9.302666342343359352e-05 1.001786333303634535e+00 1.001800151216404089e+00 1.000000000000000000e+00
8.041137546009999824e+03 9.999848200002260379e-01 9.302666342343359352e-05 1.001767908022556552e+00 1.001783115090017162e+00 1.000000000000000000e+00
8.041157977640000354e+03 9.999848867616620840e-01 9.302666342343359352e-05 1.001747562191007690e+00 1.001762702069482147e+00 1.000000000000000000e+00
8.041178409369999827e+03 9.999813850904862855e-01 9.302666342343359352e-05 1.001721314667908480e+00 1.001739961966656711e+00 1.000000000000000000e+00
8.041198840889999701e+03 1.000013755223476020e+00 9.302666342343359352e-05 1.001729106901328548e+00 1.001715328083131462e+00 1.000000000000000000e+00
8.041219272520000231e+03 1.000024953658809723e+00 9.302666342343359352e-05 1.001713732494696085e+00 1.001688736695727000e+00 1.000000000000000000e+00
8.041239704249999704e+03 1.000018876828509651e+00 9.302666342343359352e-05 1.001679432663633795e+00 1.001660524489688120e+00 1.000000000000000000e+00
8.041260135769999579e+03 9.999509417385781251e-01 9.302666342343359352e-05 1.001582754953742604e+00 1.001631893273011276e+00 1.000000000000000000e+00
8.041280567499999961e+03 1.000032578762969582e+00 9.302666342343359352e-05 1.001637010504539349e+00 1.001604379472871287e+00 1.000000000000000000e+00
8.041300999129999582e+03 9.999951450618720372e-01 9.302666342343359352e-05 1.001573712361943258e+00 1.001578574963954971e+00 1.000000000000000000e+00
8.041321430650000366e+03 1.000006298183018005e+00 9.302666342343359352e-05 1.001561878970240960e+00 1.001555570989952182e+00 1.000000000000000000e+00
8.041341862379999839e+03 9.999562796521609398e-01 9.302666342343359352e-05 1.001492799170498937e+00 1.001536586698442921e+00 1.000000000000000000e+00
8.041362294010000369e+03 9.999774348807051183e-01 9.302666342343359352e-05 1.001500091260567382e+00 1.001522690739560462e+00 1.000000000000000000e+00
8.041382725530000243e+03 9.999513801839420291e-01 9.302666342343359352e-05 1.001465011205876499e+00 1.001513704617974510e+00 1.000000000000000000e+00
8.041403157259999716e+03 9.999871304879603962e-01 9.302666342343359352e-05 1.001495369907326793e+00 1.001508258829921560e+00 1.000000000000000000e+00
8.041423588890000246e+03 9.999825799590438269e-01 9.302666342343359352e-05 1.001486037232383497e+00 1.001503483464083244e+00 1.000000000000000000e+00
8.041444020509999973e+03 1.000013802371614968e+00 9.302666342343359352e-05 1.001509563975649275e+00 1.001495740959261749e+00 1.000000000000000000e+00
8.041464452139999594e+03 1.000077409992301325e+00 9.302666342343359352e-05 1.001558467992582191e+00 1.001480943360466780e+00 1.000000000000000000e+00
8.041484883770000124e+03 1.000089042183838872e+00 9.302666342343359352e-05 1.001544924110617130e+00 1.001455752303413993e+00 1.000000000000000000e+00
8.041505315389999851e+03 1.000001426830924967e+00 9.302666342343359352e-05 1.001420948576588144e+00 1.001419519720248452e+00 1.000000000000000000e+00
8.041525747120000233e+03 9.999744087301004614e-01 9.302666342343359352e-05 1.001348807899533400e+00 1.001374434342953146e+00 1.000000000000000000e+00
8.041546178640000107e+03 9.999987178731581938e-01 9.302666342343359352e-05 1.001321850172874450e+00 1.001323133996141923e+00 1.000000000000000000e+00
8.041566610269999728e+03 1.000010389791012644e+00 9.302666342343359352e-05 1.001277987600927011e+00 1.001267584639974784e+00 1.000000000000000000e+00
8.041587042000000110e+03 9.999852932196913180e-01 9.302666342343359352e-05 1.001194893784469020e+00 1.001209618354369058e+00 1.000000000000000000e+00
8.041607473519999985e+03 9.999354829376165821e-01 9.302666342343359352e-05 1.001086642757418765e+00 1.001151234094044051e+00 1.000000000000000000e+00
8.041627905250000367e+03 1.000039112390218810e+00 9.302666342343359352e-05 1.001132846000252430e+00 1.001093690833170902e+00 1.000000000000000000e+00
8.041648336879999988e+03 1.000002842393506786e+00 9.302666342343359352e-05 1.001039569265153029e+00 1.001036723924868976e+00 1.000000000000000000e+00
8.041668768399999863e+03 1.000005741463178222e+00 9.302666342343359352e-05 1.000986434035464390e+00 1.000980686941708164e+00 1.000000000000000000e+00
8.041689200130000245e+03 9.999621309589797891e-01 9.302666342343359352e-05 1.000888395935656483e+00 1.000926300054771456e+00 1.000000000000000000e+00
8.041709631749999971e+03 1.000049575673427116e+00 9.302666342343359352e-05 1.000923826090693636e+00 1.000874207077862010e+00 1.000000000000000000e+00
8.041730063279999740e+03 9.999866008798924399e-01 9.302666342343359352e-05 1.000811013756275569e+00 1.000824423922938244e+00 1.000000000000000000e+00
8.041750495010000122e+03 9.999891128359210679e-01 9.302666342343359352e-05 1.000767031149923492e+00 1.000777926783418925e+00 1.000000000000000000e+00
8.041770926629999849e+03 9.999759856384312640e-01 9.302666342343359352e-05 1.000711565252215607e+00 1.000735597278683331e+00 1.000000000000000000e+00
8.041791358159999618e+03 1.000027500642453271e+00 9.302666342343359352e-05 1.000725309191521362e+00 1.000697789359412448e+00 1.000000000000000000e+00
8.041811789880000106e+03 9.999756011065807915e-01 9.302666342343359352e-05 1.000639924718512708e+00 1.000664339821088378e+00 1.000000000000000000e+00
8.041832221509999727e+03 9.998440675667947808e-01 9.302666342343359352e-05 1.000479458725540782e+00 1.000635490252287374e+00 1.000000000000000000e+00
8.041873084759999983e+03 1.000298258081788294e+00 9.302666342343359352e-05 1.000880863776779428e+00 1.000582431979946119e+00 1.000000000000000000e+00
8.041893516389999604e+03 1.000021914471467710e+00 9.302666342343359352e-05 1.000570154720945126e+00 1.000548228235345505e+00 1.000000000000000000e+00
8.041913948010000240e+03 1.000048006450581450e+00 9.302666342343359352e-05 1.000558821472594673e+00 1.000510790500774183e+00 1.000000000000000000e+00
8.041934379639999861e+03 9.998849366130497796e-01 9.302666342343359352e-05 1.000361224837189589e+00 1.000476343033782634e+00 1.000000000000000000e+00
