# time-2457000 flux       flux_err   x_off      y_off      roll       bg         contam     deltaT    
2408.62441315 0.99946527 0.00013180 -0.59173012 0.21985739 104.17984437 0.02996653 0.70476057 0.24349976
2408.62483068 0.99926340 0.00013179 -0.52528942 0.18498588 102.48603485 0.03548058 0.70040986 0.24349976
2408.62524821 0.99964880 0.00013181 -0.75530809 0.46863985 100.79419471 0.03075568 0.66542594 0.24349976
2408.62566574 0.99951773 0.00013181 -0.34568825 0.51874077 99.10817972 0.03170659 0.80532869 0.22348022
2408.62608328 0.99970675 0.00013181 -0.40353039 0.09113413 97.42243782 0.02993752 0.69662984 0.24349976
2408.62650081 0.99954096 0.00013180 -0.29353935 0.12261537 95.73717969 0.03179454 0.60321765 0.24349976
2408.62691835 0.99968310 0.00013181 -0.27836716 -0.14268801 94.04858351 0.02974510 0.78993643 0.24349976
2408.62733588 0.99979477 0.00013182 -0.21010697 0.15888605 92.35802879 0.03601338 0.72210909 0.22348022
2408.62775342 0.99958800 0.00013181 -0.25400949 0.09694605 90.65724215 0.03322553 0.88219183 0.20352173
2408.62817095 0.99957746 0.00013181 -0.37418380 0.29767254 88.95333375 0.03354700 0.61976975 0.24349976
2408.62858848 0.99950220 0.00013180 -0.24611524 -0.00616171 87.23254940 0.03289314 0.71472910 0.20352173
2408.62900601 0.99976361 0.00013181 -0.08814251 0.10114355 85.50445254 0.03123379 0.55095414 0.20352173
2408.62942355 0.99937773 0.00013179 0.11088612 0.30811247 83.75875855 0.03186183 0.60247486 0.22348022
2408.62984108 0.99968963 0.00013181 -0.31948173 0.17578366 81.99676133 0.03254001 0.72378000 0.22348022
2408.63025861 0.99948785 0.00013180 -0.70788395 0.51954794 80.21969239 0.03200050 0.69218884 0.20352173
2408.63067614 0.99957911 0.00013180 -0.64822233 0.00976725 78.41445836 0.03127956 0.59499577 0.22348022
2408.63109367 0.99977027 0.00013181 0.23367229 0.17863581 76.59961537 0.02775636 0.64908063 0.20352173
2408.63151120 0.99969561 0.00013181 0.03702073 0.43925735 74.74158467 0.02822565 0.54537263 0.20352173
