#time			flux		fluxerr		x			bg		roll		contam			bg			smear
2314.63751198 1.00031241 0.00032610 0.70691807 0.00001528 273.28636314 -0.02335345 -0.01455688 0.00116072
2314.63820670 1.00001960 0.00032606 0.50963599 0.00001538 268.78493402 -0.08242967 -0.01455688 0.00136924
2314.63890142 0.99988507 0.00032603 -0.20840012 0.00001540 264.32399623 0.09637993 -0.00473022 0.00072812
2314.63959616 1.00027264 0.00032610 0.22478847 0.00001534 259.92311811 -0.07574311 -0.04406738 0.00121001
2314.64029089 1.00045604 0.00032613 0.18484973 0.00001537 255.60021159 0.01059235 -0.05389404 0.00110312
2314.64098561 0.99989622 0.00032604 0.17146032 0.00001533 251.36355541 -0.05886700 -0.03424072 0.00126401
2314.64168034 1.00000000 0.00032605 0.17524682 0.00001532 247.21863612 -0.17832287 -0.03424072 0.00165871
2314.64237507 1.00012864 0.00032607 0.25765066 0.00001524 243.17116065 -0.07351507 0.02487183 0.00132812
2314.64306980 0.99978482 0.00032602 0.32278878 0.00001525 239.22676382 -0.11945383 -0.01455688 0.00145834
2314.64376453 0.99974232 0.00032601 -0.02101903 0.00001540 235.39061289 -0.08194264 -0.02441406 0.00133893
2314.64445924 0.99984471 0.00032603 -0.01371272 0.00001541 231.66179959 -0.14283838 -0.03424072 0.00154806
2314.64515397 0.99980052 0.00032602 -0.21059564 0.00001539 228.03485188 -0.09929832 -0.02441406 0.00139060
2314.64584870 1.00039985 0.00032612 0.10664781 0.00001523 224.50440050 0.02649671 -0.01455688 0.00086053
2314.64654343 0.99985218 0.00032603 0.07481044 0.00001542 221.06500549 -0.12603874 -0.07351685 0.00143763
2314.64723816 1.00009060 0.00032607 0.74397621 0.00001524 217.71122147 0.05250618 0.00515747 0.00076555
2314.64793288 0.99982754 0.00032602 0.18703638 0.00001533 214.43667946 -0.08533125 -0.03424072 0.00125643
2314.64862761 0.99928126 0.00032594 0.25450485 0.00001569 211.23320252 -0.09096802 -0.02441406 0.00137115
2314.64932233 0.99982545 0.00032602 0.19608661 0.00001546 208.09261881 -0.19951815 -0.01455688 0.00172664
2314.65001706 0.99984799 0.00032603 0.65164344 0.00001519 205.00669594 0.01623942 0.00515747 0.00091639
2314.65071179 1.00005254 0.00032606 0.60412310 0.00001528 201.96720814 -0.12689504 -0.05389404 0.00145764
2314.65140651 1.00091291 0.00032620 0.47675616 0.00001535 198.96595830 -0.13558344 -0.03424072 0.00146792
2314.65210124 1.00056591 0.00032615 0.56841615 0.00001549 195.99453887 -0.22019872 0.02487183 0.00185102
2314.65279597 1.00098020 0.00032621 0.42563009 0.00001560 193.04466948 -0.06458261 -0.05389404 0.00128513
2314.65349070 0.99931460 0.00032594 0.21949249 0.00001739 190.10802502 -0.05579881 -0.04406738 0.00126788
2314.65418541 0.99904352 0.00032590 0.07854344 0.00001557 187.17632365 -0.15116764 -0.03424072 0.00149698
