#time			flux		fluxerr		x			y		roll		contam			bg			smear
2256.17492338 1.00052662 0.00032596 0.15640687 -0.32199329 345.02309130 -0.15484912 0.00001563 0.00133259
2256.17561817 1.00027525 0.00032592 -0.12677640 -0.19358994 341.62597943 -0.02424150 0.00001546 0.00090639
2256.17631297 1.00025861 0.00032591 -0.04115181 -0.38407281 338.22247821 0.01160876 0.00001546 0.00074443
2256.17700775 0.99981002 0.00032584 -0.03430539 -0.19332135 334.80911361 -0.04324139 0.00001564 0.00095515
2256.17770255 0.99969077 0.00032582 0.17184600 0.00763398 331.38239388 -0.04461769 0.00001548 0.00089644
2256.17839734 1.00002893 0.00032588 0.08670703 0.10138461 327.93899398 -0.12369237 0.00001559 0.00109067
2256.17909213 1.00012028 0.00032589 0.04985595 -0.04312474 324.47553855 -0.01304988 0.00001544 0.00079748
2256.17978693 1.00000402 0.00032587 0.15997128 0.00287968 320.98865941 -0.10509042 0.00001552 0.00107161
2256.18048172 0.99988818 0.00032585 -0.31149220 -0.26282395 317.47563900 -0.08293299 0.00001570 0.00108825
2256.18117652 1.00034035 0.00032593 -0.17344134 0.08925509 313.93465008 0.00612563 0.00001568 0.00066847
2256.18256610 0.99921051 0.00032574 -0.63287875 -0.33074637 306.76180648 -0.17985872 0.00001657 0.00151109
2256.18326089 0.99914605 0.00032573 -0.37885215 -0.58845326 303.12637558 -0.12640730 0.00001638 0.00126199
2256.18395568 0.99937156 0.00032577 -0.38128468 -0.50577046 299.45650772 -0.14783144 0.00001661 0.00135323
2256.18465048 0.99918772 0.00032574 -0.57856752 -0.69923381 295.75295773 -0.12844385 0.00001742 0.00124858
2256.18534527 0.99915646 0.00032573 -0.72121295 -0.65698537 292.01691905 -0.04264124 0.00002483 0.00098285
2256.18604007 0.99904399 0.00032572 -0.41535599 -0.97213042 288.24957778 -0.02098018 0.00003367 0.00091777
2256.18673485 0.99939210 0.00032577 -0.07003231 -0.52513641 284.45219151 -0.16386132 0.00003487 0.00142135
2256.18742964 0.99957340 0.00032580 0.37940556 -0.41483827 280.62600400 -0.17613726 0.00003320 0.00138757
2256.18812444 1.00018490 0.00032590 0.27102262 -0.71444916 276.77429626 -0.06631770 0.00004640 0.00109884
2256.20896824 1.00075577 0.00032599 0.44141203 0.49896473 166.67801081 -0.20505168 0.00004016 0.00142259
2256.20966303 0.99985949 0.00032585 0.43495946 0.44111164 163.30875110 -0.17372954 0.00003327 0.00131189
2256.21035783 0.99950811 0.00032579 0.41130970 0.02411552 159.93433177 -0.12609599 0.00002941 0.00118904
2256.21105262 1.00053782 0.00032596 0.19343350 0.01865088 156.55111539 0.03021031 0.00002649 0.00063093
2256.21174740 0.99973799 0.00032583 0.12327495 -0.05032185 153.15552727 -0.01511446 0.00002409 0.00079300
2256.21244220 0.99913308 0.00032573 -0.02187818 0.22392427 149.74382170 -0.00067110 0.00002240 0.00068900
2256.21313699 1.00006440 0.00032588 0.04060381 0.49841938 146.31243080 -0.21514501 0.00002081 0.00144464
2256.21383179 0.99925787 0.00032575 -0.11447464 -0.15649772 142.85822364 -0.06782482 0.00001955 0.00101536
2256.21452658 0.99969165 0.00032582 0.45370204 -0.39693462 139.37870261 -0.14504779 0.00001833 0.00133345
2256.21522138 0.99919901 0.00032574 0.50277357 -0.13569946 135.87142059 -0.18869985 0.00001777 0.00143248
2256.21591617 0.99956382 0.00032580 0.83846419 -0.26261977 132.33392345 -0.07127231 0.00001715 0.00100295
2256.21661096 0.99988267 0.00032585 0.43882629 0.32361938 128.76376421 -0.18684914 0.00001678 0.00134932
2256.21730575 0.99971823 0.00032583 0.31361126 0.19153620 125.15906405 -0.11519603 0.00001662 0.00111166
2256.21800054 0.99966411 0.00032582 -0.03314059 -0.23379353 121.51946593 -0.14555996 0.00001621 0.00133997
2256.21869534 0.99999229 0.00032587 1.05676047 0.72307517 117.84513589 -0.26016999 0.00001615 0.00160140
2256.21939013 0.99937922 0.00032577 0.45198037 0.23223208 114.13618706 -0.20500332 0.00001616 0.00143434
2256.22008492 1.00045708 0.00032595 0.64512497 -0.05010608 110.39272517 -0.04874868 0.00001580 0.00095550
2256.22077972 0.99953130 0.00032579 0.82489662 -0.03013128 106.61508287 -0.04602509 0.00001578 0.00086772
2256.22216930 0.99997483 0.00032587 0.06839908 0.26038789 98.96777513 -0.16502699 0.00001594 0.00128409
2256.22286409 1.00000501 0.00032587 0.36208028 0.10749715 95.10491900 -0.09036722 0.00001583 0.00093373
2256.22355889 1.00046565 0.00032595 0.68044000 0.61618679 91.22053251 -0.29302370 0.00001563 0.00168819
