#time			flux		fluxerr		x			y		roll		contam			deltaT			smear
2264.56456742 1.00029369 0.00032593 -0.36144932 -0.70547487 293.29505352 -0.05517032 -0.21023560 0.00115122
2264.56526221 0.99959368 0.00032582 -0.50566553 -0.64932679 289.63455712 -0.11472503 -0.16156006 0.00132626
2264.56595700 0.99958498 0.00032582 -0.02136726 -0.58819256 285.96174450 0.07672849 -0.17129517 0.00070148
2264.56665178 1.00042474 0.00032595 0.30399266 -0.32953825 282.27696410 -0.18379601 -0.17129517 0.00157005
2264.56734657 0.99955094 0.00032581 0.36906844 -0.44488413 278.58050690 -0.21819609 -0.19079590 0.00169582
2264.56804135 1.00015641 0.00032591 0.08351383 -0.50706695 274.87383276 -0.08713496 -0.19079590 0.00132446
2264.56873613 0.99978047 0.00032585 0.29216942 -0.17579504 271.15802656 -0.07684406 -0.19079590 0.00116583
2264.58819006 1.00008991 0.00032590 0.16662043 0.94860589 168.78695741 -0.08898408 -0.22967529 0.00117336
2264.58888484 1.00014620 0.00032591 0.26002969 -0.28784047 165.26009647 -0.10530969 -0.21023560 0.00128912
2264.58957963 0.99967114 0.00032583 0.25275098 -0.57206483 161.73450324 0.01975510 -0.19079590 0.00083737
2264.59027441 0.99953798 0.00032581 0.49178656 -0.41753900 158.20852404 -0.22696126 -0.20050049 0.00173634
2264.59096920 0.99923948 0.00032576 -0.01563410 -0.09809055 154.68048945 -0.13322725 -0.21997070 0.00136355
2264.59166398 0.99903143 0.00032573 -0.23735593 0.07233003 151.14873708 -0.03792877 -0.18106079 0.00107178
2264.59235877 0.99958491 0.00032582 -0.14247657 0.32939133 147.61159749 0.00055312 -0.21023560 0.00083072
2264.59305355 0.99922516 0.00032576 -0.10389398 -0.07977149 144.06747734 -0.16276990 -0.21023560 0.00154406
2264.59374833 0.99941850 0.00032579 -0.13539022 -0.62166038 140.51513477 -0.10109027 -0.19079590 0.00134347
2264.59444311 1.00008011 0.00032590 0.24588702 -0.43372559 136.95323513 -0.19757253 -0.21023560 0.00163881
2264.59513790 0.99900441 0.00032572 0.48207688 -0.51485313 133.38062255 -0.11020213 -0.17129517 0.00140984
2264.59583268 0.99924258 0.00032576 0.49936752 0.08468080 129.79607623 -0.12315417 -0.17129517 0.00130507
2264.59652747 0.99938774 0.00032579 0.11938210 0.33803244 126.19842661 -0.02903605 -0.19079590 0.00099710
2264.59722225 0.99961889 0.00032582 -0.45907355 0.10340652 122.58705674 -0.09300997 -0.19079590 0.00124318
2264.59791704 0.99992641 0.00032587 0.36454871 0.62650757 118.96174160 -0.33158630 -0.21023560 0.00196491
2264.59861181 0.99948578 0.00032580 0.51438801 0.79113718 115.32231740 -0.10418960 -0.21023560 0.00134704
2264.59930659 1.00028059 0.00032593 0.21722035 0.07594475 111.66844461 -0.02039317 -0.16156006 0.00089271
2264.60000138 1.00003515 0.00032589 0.70248848 0.16414090 107.99996549 -0.01768198 -0.17129517 0.00085720
2264.60069616 1.00029859 0.00032593 0.46215568 0.39398812 104.31709931 -0.12376792 -0.17129517 0.00133091
2264.60139095 1.00008234 0.00032590 0.46247025 0.47054851 100.62076471 -0.26722098 -0.19079590 0.00178103
2264.60208573 0.99964559 0.00032583 0.05054277 0.82961172 96.91195335 -0.16170763 -0.19079590 0.00141772
2264.60278052 1.00009809 0.00032590 0.71895289 0.84464370 93.19164943 -0.09662605 -0.16156006 0.00124361
2264.60347530 0.99983870 0.00032586 0.60397809 0.79966877 89.46084468 -0.16082672 -0.19079590 0.00148192
2264.60417008 1.00007961 0.00032590 0.17285683 -0.06172647 85.72072028 -0.19487506 -0.17129517 0.00160119
2264.60486486 1.00011329 0.00032590 -0.39992984 -0.20414679 81.97284321 -0.11785219 -0.18106079 0.00138631
2264.60555965 1.00038816 0.00032595 0.06827955 -0.25199122 78.21911915 -0.20319323 -0.16156006 0.00171917
2264.60625443 0.99980491 0.00032585 -0.30721704 -0.07343243 74.46138507 -0.04615128 -0.17129517 0.00113346
2264.60694922 1.00010150 0.00032590 0.03062828 0.02619691 70.70148575 -0.09214575 -0.16156006 0.00124307
2264.60764400 1.00024476 0.00032592 -0.36931672 0.12723403 66.94125462 0.02181953 -0.19079590 0.00083633
2264.60833879 1.00041929 0.00032595 -0.33206066 0.39999327 63.18248602 -0.07866072 -0.15179443 0.00115211
2264.60903356 1.00009902 0.00032590 0.08792067 0.64322245 59.42699844 -0.30430308 -0.19079590 0.00199097
2264.60972834 1.00040383 0.00032595 -0.42417775 0.35058017 55.67642839 -0.08318332 -0.16156006 0.00122650
2264.61042313 1.00008666 0.00032590 -0.42838351 -0.10460698 51.93259365 -0.01172313 -0.20050049 0.00108427
2264.61111791 0.99938621 0.00032579 -0.40178356 0.42444753 48.19725168 -0.04820419 -0.19079590 0.00109477
2264.61181270 0.99961571 0.00032582 -0.52433603 0.25293695 44.47181455 -0.07101980 -0.19079590 0.00119660
2264.61250748 1.00058227 0.00032598 -0.56219775 0.55482573 40.75715863 -0.23060886 -0.20050049 0.00169548
2264.61320227 0.99933429 0.00032578 -0.16698960 0.23261051 37.05410359 -0.06124539 -0.19079590 0.00115099
